damage_id,report_date,report_time,reported_by_emp_id,reported_by_emp_name,reported_by_role,store_id,product_id,sku,product_name,quantity_damaged,unit_price,total_loss_value,damage_reason,damage_date,days_before_reported,category,severity,approver,status,notes
DMG000001,2026-05-05,08:36,EMP0008,Anjali Sharma,Warehouse Associate,S001,PROD00087,SKU000087,Fruits & Vegetables - Product 22,17,418.09,6689.44,Temperature Breach,2026-04-27,8,Fruits & Vegetables,Low,MGR_002,Approved,None
DMG000002,2026-06-15,23:20,EMP0019,Vikram Yadav,Team Lead - Putaway,S005,PROD00111,SKU000111,Personal Care - Product 9,7,349.69,4895.66,Temperature Breach,2026-05-25,21,Personal Care,Low,AMGR_001,Approved,None
DMG000003,2026-04-29,22:55,EMP0013,Rohan Joshi,Warehouse Associate,S005,PROD00005,SKU000005,Snacks & Chips - Product 5,6,289.4,5498.6,Handling Error,2026-04-09,20,Snacks & Chips,Low,AMGR_001,Approved,None
DMG000004,2026-05-03,07:33,EMP0022,Sneha Singh,Quality Checker,S005,PROD00145,SKU000145,Frozen Foods - Product 5,7,151.01,1812.12,Handling Error,2026-04-10,23,Frozen Foods,Low,MGR_001,Approved,None
DMG000005,2026-04-27,16:55,EMP0040,Neha Verma,Team Lead - Inventory,S003,PROD00112,SKU000112,Personal Care - Product 10,3,227.02,1589.14,Temperature Breach,2026-04-14,13,Personal Care,Low,MGR_002,Approved,None
DMG000006,2026-06-21,09:09,EMP0016,Sneha Kulkarni,Assistant Manager,S005,PROD00104,SKU000104,Personal Care - Product 2,7,211.85,211.85,Wrong Item Received,2026-06-14,7,Personal Care,Low,MGR_002,Approved,None
DMG000007,2026-05-29,11:17,EMP0032,Pooja Sharma,Team Lead - Putaway,S004,PROD00010,SKU000010,Snacks & Chips - Product 10,5,309.79,309.79,Spillage/Leakage,2026-05-23,6,Snacks & Chips,Low,AMGR_001,Approved,None
DMG000008,2026-05-02,08:20,EMP0039,Suresh Reddy,Store Manager,S001,PROD00006,SKU000006,Snacks & Chips - Product 6,20,125.81,1258.1,Product Expired,2026-05-01,1,Snacks & Chips,Low,MGR_002,Approved,None
DMG000009,2026-07-06,22:59,EMP0006,Kunal Reddy,Store Manager,S002,PROD00147,SKU000147,Frozen Foods - Product 7,4,423.44,7198.48,Shelf Life Expired,2026-06-13,23,Frozen Foods,Low,MGR_002,Approved,None
DMG000010,2026-06-23,18:51,EMP0007,Vikram Kulkarni,Store Manager,S005,PROD00081,SKU000081,Fruits & Vegetables - Product 16,8,340.57,4767.98,Wrong Item Received,2026-06-13,10,Fruits & Vegetables,Low,MGR_001,Approved,None
DMG000011,2026-06-18,07:31,EMP0027,Anjali Gupta,Team Lead - Inventory,S004,PROD00066,SKU000066,Fruits & Vegetables - Product 1,18,373.15,4477.8,Product Expired,2026-05-22,27,Fruits & Vegetables,Low,AMGR_001,Approved,None
DMG000012,2026-04-27,21:45,EMP0024,Anjali Gupta,Team Lead - Putaway,S002,PROD00038,SKU000038,Beverages - Product 8,12,29.35,293.5,Packaging Damaged,2026-04-16,11,Beverages,Medium,AMGR_001,Approved,None
DMG000013,2026-04-30,18:19,EMP0018,Rohan Singh,Team Lead - Putaway,S001,PROD00065,SKU000065,Dairy & Milk - Product 15,12,111.15,444.6,Pest Damage,2026-04-13,17,Dairy & Milk,Low,MGR_002,Approved,Partial recovery
DMG000014,2026-06-03,13:19,EMP0015,Disha Verma,Team Lead - Putaway,S003,PROD00024,SKU000024,Snacks & Chips - Product 24,7,147.14,882.84,Handling Error,2026-05-05,29,Snacks & Chips,Medium,MGR_002,Approved,None
DMG000015,2026-07-19,21:30,EMP0040,Neha Verma,Team Lead - Inventory,S003,PROD00021,SKU000021,Snacks & Chips - Product 21,14,406.42,4470.62,Temperature Breach,2026-06-23,26,Snacks & Chips,Low,MGR_001,Approved,None
DMG000016,2026-07-15,16:29,EMP0021,Disha Singh,Assistant Manager,S003,PROD00141,SKU000141,Frozen Foods - Product 1,1,206.95,413.9,Product Crushed,2026-06-22,23,Frozen Foods,Medium,MGR_002,Approved,None
DMG000017,2026-07-23,08:07,EMP0010,Kunal Verma,Assistant Manager,S004,PROD00079,SKU000079,Fruits & Vegetables - Product 14,6,156.79,1254.32,Pest Damage,2026-07-13,10,Fruits & Vegetables,Medium,AMGR_001,Approved,None
