audit_id,audit_date,audit_time,store_id,auditor_emp_id,auditor_name,product_id,sku,product_name,category,system_quantity,physical_quantity,quantity_variance,variance_percentage,finding,shelf_location,expiry_date_found,action_taken,resolution_date,rectification_remarks
AUD000001,2026-04-28,08:45,S005,EMP0007,Vikram Kulkarni,PROD00104,SKU000104,Personal Care - Product 2,Personal Care,21,19,-2,-9.52,Duplicate SKU,D9-3,2026-06-28,Corrected,2026-05-03,None
AUD000002,2026-07-02,16:22,S005,EMP0016,Sneha Kulkarni,PROD00045,SKU000045,Beverages - Product 15,Beverages,29,26,-3,-10.34,Understock,A7-4,2026-04-20,Under Investigation,2026-07-05,None
AUD000003,2026-06-10,12:16,S002,EMP0037,Pooja Singh,PROD00031,SKU000031,Beverages - Product 1,Beverages,57,49,-8,-14.04,Understock,B1-5,2026-04-13,Under Investigation,2026-06-13,None
AUD000004,2026-05-19,17:29,S001,EMP0009,Kunal Mehta,PROD00125,SKU000125,Household - Product 5,Household,27,26,-1,-3.7,Understock,C5-3,2026-09-07,Corrected,2026-05-22,None
AUD000005,2026-06-30,11:05,S004,EMP0027,Anjali Gupta,PROD00003,SKU000003,Snacks & Chips - Product 3,Snacks & Chips,32,34,2,6.25,Misplaced Item,E9-2,2026-04-04,Corrected,2026-07-04,Corrected in system
AUD000006,2026-07-04,13:27,S003,EMP0040,Neha Verma,PROD00121,SKU000121,Household - Product 1,Household,70,65,-5,-7.14,Understock,B9-3,2026-09-06,Restocked,2026-07-10,None
AUD000007,2026-07-03,09:12,S002,EMP0026,Priya Sharma,PROD00112,SKU000112,Personal Care - Product 10,Personal Care,20,16,-4,-20.0,Understock,C1-2,2026-04-12,Restocked,2026-07-09,None
AUD000008,2026-07-19,14:31,S002,EMP0017,Kunal Mehta,PROD00123,SKU000123,Household - Product 3,Household,54,54,0,0.0,Stock Match,E8-2,2026-05-18,Restocked,2026-07-24,None
AUD000009,2026-06-04,13:32,S002,EMP0006,Kunal Reddy,PROD00028,SKU000028,Snacks & Chips - Product 28,Snacks & Chips,22,25,3,13.64,Overstock,A4-1,2026-05-09,Restocked,2026-06-09,None
AUD000010,2026-07-22,14:15,S004,EMP0027,Anjali Gupta,PROD00075,SKU000075,Fruits & Vegetables - Product 10,Fruits & Vegetables,56,52,-4,-7.14,Misplaced Item,E3-5,2026-07-28,Under Investigation,2026-07-25,None
AUD000011,2026-07-09,16:39,S003,EMP0040,Neha Verma,PROD00110,SKU000110,Personal Care - Product 8,Personal Care,45,41,-4,-8.89,Misplaced Item,B4-5,2026-08-16,Under Investigation,2026-07-10,None
AUD000012,2026-06-02,17:12,S001,EMP0009,Kunal Mehta,PROD00050,SKU000050,Beverages - Product 20,Beverages,38,33,-5,-13.16,Misplaced Item,A1-4,2026-04-06,Marked for Disposal,2026-06-08,None
AUD000013,2026-06-24,16:27,S002,EMP0026,Priya Sharma,PROD00110,SKU000110,Personal Care - Product 8,Personal Care,81,81,0,0.0,Stock Match,A5-1,2026-06-16,Marked for Disposal,2026-06-27,None
AUD000014,2026-05-31,08:03,S002,EMP0026,Priya Sharma,PROD00013,SKU000013,Snacks & Chips - Product 13,Snacks & Chips,43,43,0,0.0,Stock Match,C4-3,2026-03-04,Marked for Disposal,2026-06-05,None
AUD000015,2026-05-29,09:06,S002,EMP0024,Anjali Gupta,PROD00126,SKU000126,Household - Product 6,Household,66,61,-5,-7.58,Understock,A9-2,2026-05-15,Marked for Disposal,2026-06-04,None
AUD000016,2026-05-09,14:05,S005,EMP0020,Disha Mehta,PROD00061,SKU000061,Dairy & Milk - Product 11,Dairy & Milk,55,65,10,18.18,Overstock,A3-5,2026-08-31,Corrected,2026-05-14,None
AUD000017,2026-06-29,13:19,S002,EMP0034,Vikram Patel,PROD00026,SKU000026,Snacks & Chips - Product 26,Snacks & Chips,29,33,4,13.79,Duplicate SKU,D4-5,2026-08-14,Corrected,2026-07-01,None
AUD000018,2026-05-31,18:45,S005,EMP0019,Vikram Yadav,PROD00144,SKU000144,Frozen Foods - Product 4,Frozen Foods,64,56,-8,-12.5,Understock,A7-1,2026-02-26,Restocked,2026-06-05,None
AUD000019,2026-07-21,17:03,S002,EMP0024,Anjali Gupta,PROD00034,SKU000034,Beverages - Product 4,Beverages,57,57,0,0.0,Stock Match,B7-4,2026-02-01,Corrected,2026-07-23,None
AUD000020,2026-05-19,11:11,S004,EMP0035,Neha Verma,PROD00100,SKU000100,Bakery - Product 10,Bakery,71,70,-1,-1.41,Duplicate SKU,A3-5,2026-07-12,Corrected,2026-05-26,None
AUD000021,2026-05-26,12:45,S005,EMP0038,Amit Verma,PROD00067,SKU000067,Fruits & Vegetables - Product 2,Fruits & Vegetables,58,56,-2,-3.45,Damaged Stock Found,C9-1,2026-08-05,Under Investigation,2026-05-27,None
AUD000022,2026-06-23,08:41,S003,EMP0040,Neha Verma,PROD00038,SKU000038,Beverages - Product 8,Beverages,55,60,5,9.09,Overstock,B4-5,2026-09-02,Corrected,2026-06-29,None
AUD000023,2026-05-04,12:46,S005,EMP0020,Disha Mehta,PROD00084,SKU000084,Fruits & Vegetables - Product 19,Fruits & Vegetables,30,33,3,10.0,Expired Product Found,B7-5,2026-06-03,Marked for Disposal,2026-05-05,None
AUD000024,2026-07-22,16:42,S003,EMP0040,Neha Verma,PROD00072,SKU000072,Fruits & Vegetables - Product 7,Fruits & Vegetables,42,41,-1,-2.38,Understock,E2-4,2026-06-22,Under Investigation,2026-07-29,None
AUD000025,2026-06-25,10:28,S003,EMP0040,Neha Verma,PROD00053,SKU000053,Dairy & Milk - Product 3,Dairy & Milk,94,95,1,1.06,Expired Product Found,B7-3,2026-08-17,Restocked,2026-06-26,None
AUD000026,2026-06-30,10:41,S004,EMP0011,Disha Reddy,PROD00046,SKU000046,Beverages - Product 16,Beverages,44,46,2,4.55,Duplicate SKU,C1-3,2026-08-09,Under Investigation,2026-07-07,None
AUD000027,2026-04-27,14:15,S005,EMP0016,Sneha Kulkarni,PROD00018,SKU000018,Snacks & Chips - Product 18,Snacks & Chips,38,38,0,0.0,Stock Match,D7-1,2026-02-04,Under Investigation,2026-05-03,None
AUD000028,2026-07-22,09:52,S005,EMP0007,Vikram Kulkarni,PROD00097,SKU000097,Bakery - Product 7,Bakery,69,69,0,0.0,Stock Match,A1-2,2026-06-26,Corrected,2026-07-25,None
