putaway_id,transaction_date,transaction_time,store_id,employee_id,employee_name,product_id,sku,quantity_received,quantity_putaway,shelf_location,status,time_to_putaway_minutes,quality_check_passed,remarks
PUT000001,2026-06-19,20:05,S005,EMP0038,Amit Verma,PROD00127,SKU000127,43,5,D6-5,Delayed,8,True,None
PUT000002,2026-04-28,07:48,S005,EMP0005,Rohan Singh,PROD00069,SKU000069,16,33,E8-3,Partial,79,True,None
PUT000003,2026-05-22,19:21,S001,EMP0039,Suresh Reddy,PROD00090,SKU000090,25,45,A3-3,Quality Hold,93,True,None
PUT000004,2026-04-30,07:29,S004,EMP0035,Neha Verma,PROD00141,SKU000141,10,23,C6-1,Quality Hold,115,True,None
PUT000005,2026-04-30,07:12,S005,EMP0025,Rajesh Sharma,PROD00106,SKU000106,38,26,E8-4,Completed,31,True,None
PUT000006,2026-07-07,09:01,S003,EMP0021,Disha Singh,PROD00125,SKU000125,45,41,B3-3,Completed,75,True,None
PUT000007,2026-06-25,10:31,S001,EMP0039,Suresh Reddy,PROD00031,SKU000031,50,21,E5-4,Quality Hold,65,True,None
PUT000008,2026-05-14,22:47,S002,EMP0031,Neha Mehta,PROD00049,SKU000049,13,7,C7-3,Delayed,110,True,None
PUT000009,2026-06-15,20:34,S005,EMP0025,Rajesh Sharma,PROD00039,SKU000039,35,25,C9-5,Quality Hold,63,True,None
PUT000010,2026-04-25,19:02,S002,EMP0031,Neha Mehta,PROD00060,SKU000060,25,50,D7-4,Partial,68,True,None
PUT000011,2026-05-20,20:06,S005,EMP0020,Disha Mehta,PROD00026,SKU000026,38,32,A3-4,Partial,14,True,None
PUT000012,2026-06-10,16:54,S005,EMP0022,Sneha Singh,PROD00021,SKU000021,48,37,D6-4,Completed,84,True,None
PUT000013,2026-05-04,19:06,S003,EMP0014,Sneha Joshi,PROD00024,SKU000024,45,48,A8-2,Delayed,120,True,None
PUT000014,2026-06-12,17:27,S001,EMP0029,Pooja Verma,PROD00092,SKU000092,14,18,E7-5,Partial,26,True,None
PUT000015,2026-05-06,21:58,S004,EMP0028,Rohan Mehta,PROD00062,SKU000062,42,12,B8-3,Quality Hold,37,True,Damaged items separated
PUT000016,2026-05-25,11:04,S003,EMP0036,Disha Mehta,PROD00140,SKU000140,33,25,E5-4,Delayed,63,True,None
PUT000017,2026-06-04,18:36,S004,EMP0002,Pooja Singh,PROD00061,SKU000061,27,39,C5-1,Quality Hold,40,True,None
PUT000018,2026-04-27,13:38,S001,EMP0039,Suresh Reddy,PROD00074,SKU000074,27,17,B10-3,Partial,85,True,None
PUT000019,2026-05-02,07:37,S001,EMP0029,Pooja Verma,PROD00113,SKU000113,28,49,B2-3,Delayed,100,True,None
PUT000020,2026-06-28,22:32,S002,EMP0037,Pooja Singh,PROD00094,SKU000094,22,13,C8-3,Delayed,107,True,None
